"ciudad","actividad_industrial","usa_agua_proceso","tratamiento_aguas","costo_mantenimiento_tratamiento","fuente_agua","volumen_consumido_m3","costo_consumo_mensual","numero_empleados"
"Guayaquil","textil","sí","sí",1962.78,"red municipal",919.9,685.62,87
"Guayaquil","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",810.9,641.6,88
"Guayaquil","farmacéutica","sí","no",NA,"red municipal y pozo",2439.59354698299,1952.00682345964,256
"Cuenca","química","sí","no",NA,"pozo",901.4,814.11,76
"Manta","farmacéutica","no","no",NA,"red municipal",838.7,760.27,102
"Ambato","procesamiento de alimentos","sí","sí",2114.41,"pozo",945,839.23,81
"Cuenca","química","sí","no",NA,"pozo y río",907.4,1024.9,86
"Manta","farmacéutica","no","sí",977.76,"pozo",773.2,562.28,82
"Manta","plásticos","sí","sí",1444.28,"río",792.9,722.48,88
"Quito","farmacéutica","sí","sí",1822.33,"red municipal y pozo",661.4,606.14,93
"Quito","farmacéutica","sí","sí",1510.38,"red municipal y pozo",1031.3,942.83,77
"Guayaquil","procesamiento de alimentos","sí","no",NA,"red municipal",852.3,752.57,93
"Guayaquil","textil","sí","sí",1597.7,"pozo",1162.2,926.14,86
"Guayaquil","química","sí","no",NA,"pozo",872.3,725.31,97
"Ambato","plásticos","sí","sí",1007.56,"pozo y río",1058.8,937.57,83
"Loja","metalmecánica","no","no",NA,"red municipal y pozo",534.3,552.99,76
"Quito","farmacéutica","sí","sí",948.82,"río",840.1,851.28,79
"Loja","textil","no","no",NA,"pozo",780.9,888.23,88
"Quito","procesamiento de alimentos","sí","no",NA,"red municipal",854.3,788.06,81
"Ambato","textil","sí","sí",1211.81,"red municipal y pozo",928.6,963.4,93
"Guayaquil","metalmecánica","no","no",NA,"pozo y río",877.3,746.25,79
"Ambato","procesamiento de alimentos","sí","sí",1683,"red municipal y pozo y río",658.3,623.56,80
"Quito","farmacéutica","sí","sí",2282.11,"red municipal",753.4,756.82,78
"Loja","química","sí","sí",868.29,"pozo",864.4,949.15,107
"Loja","textil","sí","no",NA,"red municipal",992,980.64,87
"Guayaquil","textil","sí","sí",1771.17,"red municipal y río",998.6,836.56,99
"Ambato","farmacéutica","no","sí",835,"red municipal",731.9,811.59,86
"Manta","textil","sí","sí",847.09,"pozo",896.4,620.13,79
"Guayaquil","plásticos","sí","sí",1217.48,"pozo",717.3,592.69,81
"Cuenca","plásticos","no","sí",1887.07,"red municipal y río",513.1,442.62,70
"Cuenca","química","sí","no",NA,"red municipal y pozo y río",1163.7,1295.74,80
"Cuenca","textil","sí","no",NA,"pozo y río",957.3,937.83,100
"Quito","farmacéutica","sí","sí",1460.78,"red municipal y río",752.4,813.73,79
"Quito","farmacéutica","no","sí",1824.36,"río",586.6,588.05,90
"Manta","plásticos","sí","no",NA,"red municipal y pozo y río",808.7,605.46,93
"Guayaquil","plásticos","sí","sí",1485.95,"red municipal y río",1076.2,922.36,92
"Cuenca","metalmecánica","sí","sí",837.05,"red municipal y pozo",901.2,944.43,98
"Cuenca","plásticos","sí","no",NA,"río",963.6,885.01,80
"Cuenca","metalmecánica","no","sí",216.72,"río",720.1,765.77,86
"Guayaquil","plásticos","sí","sí",1401.47,"red municipal y río",998.4,789.63,91
"Manta","química","sí","sí",790.79,"pozo",874.6,664.09,91
"Ambato","textil","sí","no",NA,"pozo",953.7,887.25,98
"Ambato","metalmecánica","sí","sí",1829.33,"río",816.5,933.51,72
"Loja","procesamiento de alimentos","no","sí",1583.5,"red municipal",535.4,459.6,78
"Loja","procesamiento de alimentos","sí","sí",1749.35,"red municipal y pozo",832.8,809.92,95
"Manta","plásticos","no","sí",1440.09,"red municipal y río",601.2,560.85,69
"Ambato","química","sí","sí",1628.11,"pozo",815.7,717.83,81
"Guayaquil","química","sí","sí",2641.42,"red municipal",1003.7,692.99,81
"Ambato","farmacéutica","sí","sí",1354.87,"red municipal y pozo",816.4,747.87,97
"Quito","plásticos","no","no",NA,"río",551.2,526.58,92
"Quito","química","sí","sí",1580.94,"pozo",821.4,852.57,98
"Guayaquil","farmacéutica","sí","no",NA,"red municipal",699.4,546.62,85
"Quito","metalmecánica","sí","no",NA,"red municipal",890.3,987.85,71
"Manta","textil","sí","sí",2213.47,"red municipal y río",758.2,573.95,73
"Manta","procesamiento de alimentos","sí","sí",1581.95,"pozo y río",829.2,626.15,74
"Cuenca","plásticos","no","sí",2016.08,"red municipal",813.5,881.91,84
"Cuenca","química","no","sí",1822.64,"red municipal y pozo",758.1,720.2,87
"Manta","farmacéutica","sí","sí",1266.41,"red municipal",1019.2,932.88,84
"Loja","metalmecánica","sí","sí",1571.41,"pozo y río",885.8,943.18,90
"Guayaquil","plásticos","sí","no",NA,"red municipal y pozo",859.2,761.09,81
"Guayaquil","procesamiento de alimentos","sí","no",NA,"red municipal",820.2,675.55,82
"Quito","plásticos","no","no",NA,"red municipal",656.4,599.82,88
"Ambato","metalmecánica","sí","no",NA,"pozo",749.5,745.22,73
"Quito","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",946.8,848.11,83
"Ambato","procesamiento de alimentos","sí","sí",1999.12,"red municipal y pozo",870.3,787.65,85
"Guayaquil","farmacéutica","sí","no",NA,"pozo",669.3,596.99,78
"Loja","química","sí","sí",1137.86,"red municipal",845.9,865.28,100
"Cuenca","textil","sí","sí",2115.59,"río",861.6,974.6,101
"Manta","textil","sí","no",NA,"pozo",970.2,641.58,96
"Guayaquil","química","sí","no",NA,"red municipal y pozo",803.1,727.13,98
"Manta","química","sí","sí",1219.65,"red municipal",697.8,653.52,89
"Quito","farmacéutica","sí","sí",2424.4,"río",850.1,937.13,79
"Cuenca","química","sí","sí",1289.6,"red municipal y pozo",1154.2,1154.75,85
"Ambato","química","sí","sí",1096.8,"río",920.9,892.33,77
"Ambato","metalmecánica","sí","no",NA,"pozo",676.4,773.17,81
"Cuenca","química","no","no",NA,"pozo",710.8,655.34,86
"Manta","química","sí","sí",1795.36,"red municipal",925,744.48,87
"Guayaquil","metalmecánica","sí","no",NA,"río",1065.5,881.6,98
"Loja","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",927,1020.99,95
"Ambato","química","sí","sí",1708.5,"red municipal y pozo",736.5,842.75,90
"Ambato","química","no","sí",1171.67,"pozo",826.1,814.01,75
"Quito","química","sí","sí",2052.09,"red municipal y pozo y río",1000.1,1110.21,98
"Ambato","química","sí","sí",960.11,"pozo y río",938.5,998.07,80
"Quito","procesamiento de alimentos","sí","no",NA,"pozo",825.3,853.07,72
"Loja","química","sí","sí",1192.96,"pozo y río",759.7,757.26,85
"Quito","plásticos","no","sí",1594.82,"red municipal",765.9,659.08,88
"Cuenca","procesamiento de alimentos","sí","sí",691.45,"pozo y río",744.9,652.86,71
"Guayaquil","química","sí","sí",1398.89,"red municipal y pozo",965,760.16,75
"Guayaquil","farmacéutica","sí","sí",1083.46,"red municipal y río",922,677.99,84
"Ambato","procesamiento de alimentos","sí","sí",1046.26,"red municipal",901.5,851.72,71
"Quito","farmacéutica","sí","no",NA,"red municipal y pozo",840.9,910.4,79
"Manta","textil","sí","sí",1440.84,"red municipal",978.2,771.95,66
"Cuenca","metalmecánica","sí","sí",1421.83,"pozo",786.9,786.4,94
"Cuenca","farmacéutica","sí","no",NA,"red municipal y río",1090.6,1203.24,71
"Ambato","química","sí","sí",1165.85,"red municipal",997.9,903.07,80
"Guayaquil","farmacéutica","sí","sí",784.19,"red municipal y río",875.2,600.42,104
"Cuenca","metalmecánica","sí","sí",2394.79,"red municipal y río",898.9,1029.98,73
"Loja","plásticos","sí","sí",1674,"red municipal",750.2,648.68,96
"Manta","textil","sí","sí",1196.52,"red municipal y pozo",1081.5,805.64,91
"Quito","procesamiento de alimentos","no","no",NA,"red municipal",487.2,551.49,89
"Manta","metalmecánica","sí","no",NA,"red municipal",692.4,656.6,90
"Manta","plásticos","no","sí",962.65,"pozo y río",637.2,428.4,78
"Loja","procesamiento de alimentos","sí","sí",2042.13,"red municipal y pozo",1043.1,903.59,84
"Manta","farmacéutica","sí","no",NA,"río",964.1,766.28,100
"Ambato","química","sí","no",NA,"pozo",876.7,974.13,103
"Cuenca","textil","sí","sí",1069.58,"red municipal y pozo",1022.6,943.82,100
"Loja","plásticos","sí","sí",1837.62,"pozo y río",803.2,833.67,73
"Cuenca","procesamiento de alimentos","sí","no",NA,"pozo y río",844.9,795.87,83
"Quito","procesamiento de alimentos","no","sí",1679.84,"río",679.1,758.78,76
"Quito","plásticos","sí","no",NA,"red municipal",1011.6,1086.74,84
"Guayaquil","farmacéutica","sí","no",NA,"pozo y río",664.1,591.98,63
"Guayaquil","química","no","sí",2335.68,"red municipal y pozo",654.5,559.83,100
"Cuenca","metalmecánica","sí","sí",1323.56,"red municipal y río",844.5,737.19,76
"Quito","textil","sí","no",NA,"red municipal y río",753.4,819.5,95
"Loja","textil","sí","sí",1883.17,"red municipal",779,768.19,88
"Quito","farmacéutica","sí","no",NA,"red municipal y pozo",888.4,964.41,77
"Quito","plásticos","no","sí",2321.57,"red municipal y pozo",504.1,542.41,59
"Manta","textil","sí","no",NA,"pozo",1011.8,872.53,99
"Cuenca","metalmecánica","no","sí",1730.34,"red municipal",616.2,562.83,106
"Manta","metalmecánica","sí","sí",1283.91,"río",547.1,409.24,90
"Loja","metalmecánica","sí","no",NA,"red municipal",880.1,993.7,93
"Ambato","farmacéutica","sí","sí",1775.26,"red municipal",1098.3,1061.64,95
"Guayaquil","química","sí","sí",1198.15,"red municipal y pozo y río",869.7,775.33,90
"Manta","metalmecánica","sí","sí",5179.89154977403,"río",1619.77549373885,1251.55423647596,368
"Cuenca","plásticos","sí","no",NA,"red municipal",990.2,977.26,102
"Quito","textil","no","sí",2054.63,"red municipal",516.7,565.51,83
"Guayaquil","farmacéutica","sí","sí",1614.74,"pozo",881.9,667.55,87
"Loja","farmacéutica","sí","no",NA,"red municipal",720.6,687.62,79
"Guayaquil","textil","no","sí",1399.51,"pozo",659.4,598.84,78
"Quito","plásticos","sí","sí",279.75,"red municipal y pozo",778,833.07,77
"Cuenca","textil","sí","sí",1119.76,"red municipal",890,929.22,91
"Loja","química","sí","sí",1634.84,"río",847.2,768.67,99
"Loja","plásticos","sí","sí",1668.4,"red municipal y pozo y río",734.4,666.15,88
"Loja","metalmecánica","sí","sí",2898.33701298256,"red municipal y río",2588.93683480155,1829.83685667083,220
"Quito","química","sí","no",NA,"red municipal y río",908.4,972.68,91
"Manta","química","sí","no",NA,"red municipal y pozo",896.5,738.03,73
"Quito","metalmecánica","no","sí",1455.26,"red municipal y pozo",543.6,602.32,60
"Quito","farmacéutica","sí","no",NA,"río",835.6,945.87,88
"Loja","farmacéutica","sí","no",NA,"red municipal",1885.65865031332,1845.9616149096,226
"Cuenca","procesamiento de alimentos","sí","no",NA,"río",995.4,951.62,79
"Loja","textil","sí","sí",1737.92,"red municipal y río",767.2,671.7,88
"Ambato","metalmecánica","sí","sí",1416.17,"río",1052.6,1108.15,95
"Cuenca","farmacéutica","sí","no",NA,"red municipal",881.6,809.42,89
"Quito","farmacéutica","sí","no",NA,"red municipal",823.4,703.25,77
"Quito","textil","no","no",NA,"río",787.7,891.29,68
"Manta","química","sí","sí",1209.08,"río",838.4,645.72,103
"Ambato","metalmecánica","sí","no",NA,"red municipal y pozo",798.1,770.57,82
"Quito","plásticos","sí","no",NA,"red municipal",836.7,955.57,74
"Guayaquil","metalmecánica","sí","sí",1756.25145153399,"red municipal",2711.54984386587,1663.52226786513,276
"Cuenca","textil","no","sí",854.27,"red municipal y pozo",613.1,632.37,87
"Guayaquil","metalmecánica","no","sí",1258.12,"pozo y río",849,721.92,96
"Loja","plásticos","sí","sí",1101.87,"pozo",856.7,870.41,79
"Manta","textil","sí","sí",1303.24,"pozo y río",728.8,592,84
"Guayaquil","metalmecánica","sí","sí",668.05,"río",993.3,832.7,95
"Guayaquil","textil","sí","sí",1066.56,"red municipal",653.6,592.23,72
"Ambato","plásticos","sí","sí",1109.24,"río",729.9,821.85,92
"Ambato","procesamiento de alimentos","sí","no",NA,"río",770.2,837.16,83
"Ambato","farmacéutica","no","sí",1709.79,"red municipal",623.1,612.94,90
"Cuenca","química","sí","no",NA,"red municipal y río",631.4,542.63,88
"Manta","farmacéutica","sí","no",NA,"red municipal",1054.4,963.85,103
"Manta","química","sí","sí",1744.25,"red municipal y pozo y río",879.9,719.78,90
"Cuenca","metalmecánica","sí","sí",1481.55,"pozo y río",642.2,559.44,88
"Manta","química","sí","sí",1795.57,"pozo",563.2,481.04,88
"Ambato","química","sí","no",NA,"red municipal",796.7,771.54,86
"Manta","textil","no","sí",2225.74,"red municipal",683.6,586.59,87
"Loja","textil","no","sí",1420.71,"pozo y río",578.1,547.49,72
"Loja","plásticos","sí","no",NA,"pozo",893.9,888.65,84
"Manta","procesamiento de alimentos","no","no",NA,"red municipal",746.3,698.62,89
"Loja","textil","sí","no",NA,"red municipal y río",847.9,751.22,92
"Ambato","procesamiento de alimentos","sí","no",NA,"río",996,1112.1,83
"Manta","metalmecánica","sí","sí",854.49,"red municipal",920.3,777.58,103
"Cuenca","textil","no","sí",2803.17,"pozo",793.6,749.84,83
"Loja","procesamiento de alimentos","sí","sí",1518.42,"red municipal y pozo",802.9,824.55,78
"Guayaquil","plásticos","sí","sí",1541.9,"río",885.3,680.99,86
"Ambato","química","sí","no",NA,"pozo",896.9,906.27,82
"Manta","procesamiento de alimentos","sí","no",NA,"río",867.8,638.54,82
"Cuenca","química","sí","sí",1488.9,"red municipal",1032.3,1034.12,94
"Guayaquil","metalmecánica","sí","sí",2319.69,"red municipal",962.1,862.6,75
"Manta","textil","sí","no",NA,"red municipal y pozo",969.3,752.38,71
"Ambato","metalmecánica","no","no",NA,"red municipal",934.5,878.33,76
"Ambato","procesamiento de alimentos","sí","no",NA,"pozo",761.6,764.47,87
"Cuenca","procesamiento de alimentos","sí","sí",1952.85,"red municipal",1142.3,1213.19,91
"Loja","farmacéutica","sí","sí",1882.23,"pozo y río",574.9,609.64,91
"Manta","metalmecánica","no","sí",1768.43,"pozo",879.7,572.54,98
"Manta","textil","sí","sí",1178.67,"red municipal",922.8,764.05,99
"Ambato","química","no","no",NA,"pozo y río",614.8,530.31,91
"Manta","textil","sí","sí",1280.83,"red municipal y pozo y río",976.7,748.92,83
"Guayaquil","procesamiento de alimentos","sí","no",NA,"red municipal",677.5,520.32,97
"Manta","plásticos","sí","sí",1823.19,"red municipal y río",918,651.21,74
"Manta","plásticos","sí","sí",1935.85,"red municipal y pozo",687.6,546.04,91
"Quito","plásticos","sí","no",NA,"red municipal y pozo",727.4,704.69,63
"Ambato","procesamiento de alimentos","sí","sí",1826.39,"río",680.9,646.86,91
"Cuenca","química","sí","sí",-115.46,"red municipal",806.4,838.57,88
"Manta","metalmecánica","sí","sí",2202.01,"red municipal",573.6,519.91,81
"Loja","metalmecánica","no","sí",1558.84,"río",733.9,724.72,82
"Loja","procesamiento de alimentos","sí","sí",1299.92,"red municipal y pozo",952.4,812.78,97
"Ambato","procesamiento de alimentos","sí","sí",1307.97,"red municipal y pozo",1159.1,1289.17,84
"Cuenca","plásticos","sí","no",NA,"río",810.3,739.68,80
"Cuenca","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",907.2,1001.49,87
"Loja","textil","sí","no",NA,"red municipal",722.4,648.13,77
"Ambato","farmacéutica","no","sí",2037.86,"pozo",632,670.68,89
"Quito","farmacéutica","no","sí",1519.02,"red municipal y pozo",776.5,786.48,83
"Ambato","farmacéutica","sí","sí",1669.79,"pozo y río",906.8,902.6,96
"Loja","textil","sí","no",NA,"red municipal y pozo",761.7,753.81,83
"Manta","procesamiento de alimentos","sí","sí",26.06,"red municipal",967.4,899.17,108
"Ambato","química","no","sí",1942.66,"pozo",435.5,462.11,95
"Manta","procesamiento de alimentos","sí","sí",477.72,"red municipal",789.5,540.82,75
"Quito","procesamiento de alimentos","sí","sí",2353.43,"red municipal",985.8,999.48,81
"Quito","farmacéutica","sí","sí",1492.8,"red municipal y pozo",570.3,600.06,80
"Loja","textil","sí","sí",1459.85,"red municipal y pozo",903.6,941.34,88
"Ambato","química","sí","sí",2149.64,"red municipal y pozo",770.9,869.82,76
"Quito","farmacéutica","no","sí",1756.42,"red municipal y pozo y río",713.3,711.51,86
"Guayaquil","química","no","sí",1779.72,"red municipal y río",616.5,478.44,72
"Cuenca","textil","sí","sí",1105.88,"pozo y río",895.2,892.12,96
"Guayaquil","procesamiento de alimentos","sí","no",NA,"red municipal",764,665.53,82
"Quito","procesamiento de alimentos","sí","no",NA,"red municipal",920.2,806.05,74
"Quito","textil","sí","no",NA,"red municipal y pozo",758,719.31,85
"Loja","plásticos","sí","no",NA,"pozo",914.1,1038.38,94
"Cuenca","farmacéutica","sí","sí",2300.64,"red municipal y pozo y río",855,839.56,74
"Manta","textil","sí","sí",2045.78,"red municipal y pozo",919.9,656.22,73
"Manta","química","sí","sí",1463.59,"red municipal y pozo",864.9,631.5,74
"Ambato","plásticos","sí","no",NA,"red municipal y pozo",824,744.22,83
"Loja","textil","no","no",NA,"red municipal",849.5,974.69,96
"Ambato","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",821.1,844.64,70
"Manta","plásticos","no","no",NA,"pozo",539.8,416.74,78
"Ambato","plásticos","sí","sí",1447.17,"pozo",864.3,896.15,93
"Guayaquil","farmacéutica","sí","sí",1326.07,"red municipal y pozo",768.7,650.36,72
"Loja","química","no","sí",926.5,"pozo",714.6,747.8,83
"Cuenca","procesamiento de alimentos","sí","sí",1240.5,"red municipal y pozo",813.3,785.97,85
"Loja","plásticos","no","sí",1768.49,"red municipal y pozo",661.2,682.02,68
"Quito","farmacéutica","sí","no",NA,"río",647.6,685.11,88
"Ambato","procesamiento de alimentos","sí","no",NA,"red municipal",897.8,772.39,89
"Cuenca","procesamiento de alimentos","sí","sí",1644.92,"red municipal y pozo",904.1,989.36,92
"Manta","farmacéutica","sí","sí",1141.48,"red municipal y pozo",1030.6,714.52,88
"Ambato","textil","sí","sí",1232.09,"pozo y río",1051.2,900.06,88
"Loja","farmacéutica","sí","no",NA,"red municipal",688.6,718.35,59
"Cuenca","química","sí","sí",2044.67,"red municipal y pozo",696.5,594.9,83
"Cuenca","metalmecánica","sí","sí",1054.26,"red municipal",821.3,918.21,82
"Ambato","procesamiento de alimentos","no","sí",477.56,"pozo y río",566.1,608.38,80
"Ambato","farmacéutica","sí","no",NA,"red municipal y pozo",793.1,807.7,69
"Guayaquil","plásticos","no","no",NA,"río",573.3,379.96,84
"Cuenca","plásticos","sí","no",NA,"red municipal",849.9,773.04,81
"Quito","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",1000.1,995.01,80
"Manta","farmacéutica","sí","no",NA,"red municipal",852.9,659.24,83
"Quito","metalmecánica","no","no",NA,"red municipal",616,707.9,61
"Loja","textil","sí","sí",1566.72,"pozo",718.7,699.69,74
"Quito","metalmecánica","no","sí",25.07,"río",745.4,786.09,93
"Cuenca","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",676.5,581.55,90
"Guayaquil","farmacéutica","sí","no",NA,"red municipal",922.1,826.28,89
"Ambato","farmacéutica","sí","no",NA,"red municipal y pozo",666.6,676,88
"Cuenca","procesamiento de alimentos","sí","sí",1287.9,"red municipal",970.7,1051.97,85
"Cuenca","plásticos","sí","sí",1432.92,"pozo",1000.6,952.85,84
"Manta","farmacéutica","sí","sí",1912.66,"red municipal",859.6,668.93,85
"Quito","química","sí","sí",2812.7,"pozo y río",701.4,659.97,76
"Quito","plásticos","sí","sí",1129.97,"red municipal",794.3,752.78,90
"Cuenca","procesamiento de alimentos","sí","no",NA,"pozo",899.8,963.48,83
"Loja","textil","sí","no",NA,"red municipal",802.8,920.1,80
"Ambato","metalmecánica","sí","sí",2735.65,"pozo",877,876.84,87
"Manta","textil","no","sí",2304.12,"red municipal",846.6,661.94,86
"Ambato","metalmecánica","sí","sí",1883,"red municipal y río",834.3,863.38,88
"Ambato","textil","sí","sí",1617.28,"red municipal",861.6,795.8,98
"Cuenca","metalmecánica","sí","no",NA,"red municipal y pozo",881.5,956.97,82
"Quito","química","no","no",NA,"red municipal",769.8,802.57,73
"Loja","procesamiento de alimentos","sí","no",NA,"red municipal",736,761.45,93
"Cuenca","metalmecánica","no","sí",2545.84,"red municipal",758.8,800.35,88
"Manta","procesamiento de alimentos","sí","sí",1361.11,"pozo",678.7,463.56,88
"Ambato","plásticos","sí","sí",718.81,"red municipal y río",897.1,949.05,101
"Ambato","textil","sí","sí",2063.7,"red municipal",761.7,744.18,90
"Manta","farmacéutica","sí","sí",2309.3,"pozo",833.9,715.22,73
"Manta","procesamiento de alimentos","sí","no",NA,"río",774.9,547.17,91
"Manta","farmacéutica","no","sí",1745.9,"red municipal y río",783.9,594.71,84
"Guayaquil","plásticos","sí","no",NA,"red municipal y río",1011.9,741.01,89
"Guayaquil","farmacéutica","no","sí",1854.51,"pozo",693.3,629.28,87
"Quito","plásticos","sí","sí",1184.59,"pozo y río",811.9,903.82,93
"Quito","química","sí","sí",1649.6,"red municipal",666,739.26,73
"Loja","metalmecánica","sí","sí",1178.72,"pozo",839.4,779.64,65
"Guayaquil","plásticos","sí","sí",2051.13,"red municipal",871.7,647.45,70
"Manta","procesamiento de alimentos","sí","no",NA,"red municipal y río",864.1,786.68,66
"Ambato","metalmecánica","no","sí",1168.71,"red municipal",912.8,868.27,79
"Loja","química","sí","sí",795.89,"red municipal y pozo",790.5,848.01,91
"Ambato","química","no","no",NA,"red municipal",599.6,539.19,91
"Quito","farmacéutica","no","sí",2066.46,"red municipal y pozo",726.1,799.09,82
"Cuenca","farmacéutica","sí","sí",2346.1,"red municipal y pozo",852.4,761.48,90
"Manta","química","sí","sí",1986.31,"pozo",794.2,543.55,76
"Ambato","textil","sí","sí",1090.69,"red municipal y pozo",935.3,955.95,91
"Cuenca","textil","no","sí",1363.17,"río",675.6,656.95,94
"Quito","metalmecánica","sí","sí",2412.16,"pozo y río",685.6,582.88,86
"Quito","plásticos","sí","no",NA,"red municipal y pozo y río",990.5,1029.61,89
"Loja","procesamiento de alimentos","sí","no",NA,"pozo",1063.7,1135.09,76
"Ambato","procesamiento de alimentos","sí","no",NA,"pozo y río",896.3,950.39,86
"Quito","metalmecánica","sí","sí",2002.49,"red municipal y pozo",620,604.74,78
"Ambato","textil","sí","sí",817.12,"pozo",857.7,733.97,98
"Cuenca","metalmecánica","sí","sí",1486.46,"pozo",773.3,877.55,74
"Manta","química","no","sí",1652.92,"pozo y río",709.8,588.59,76
"Ambato","textil","no","sí",930.98,"red municipal",646.1,673.15,82
"Quito","metalmecánica","sí","sí",912.19,"red municipal y pozo",948.8,1056,77
"Ambato","textil","sí","no",NA,"pozo",787.5,759.51,79
"Loja","química","no","no",NA,"red municipal",577.9,542.81,89
"Ambato","plásticos","sí","sí",2266.26,"red municipal y pozo",939.8,1017.57,82
"Manta","farmacéutica","no","sí",1211.52,"red municipal y pozo",495.3,440.71,87
"Cuenca","química","sí","no",NA,"red municipal",2078.59090465298,1908.45420435092,304
"Ambato","procesamiento de alimentos","sí","sí",1853.82,"red municipal",742.5,682.34,80
"Ambato","farmacéutica","sí","sí",1336.22,"red municipal y pozo",1107.6,1058.51,85
"Loja","farmacéutica","sí","sí",2179.31,"red municipal",819.8,749.71,96
"Manta","procesamiento de alimentos","sí","no",NA,"red municipal",2321.70502494648,1647.42502244078,241
"Ambato","textil","no","sí",426.44,"red municipal y río",615.3,655.95,79
"Cuenca","textil","sí","no",NA,"red municipal y pozo y río",739.6,702.21,68
"Manta","metalmecánica","sí","sí",2426.77,"red municipal y pozo",815.5,587.91,91
"Guayaquil","plásticos","sí","no",NA,"red municipal y pozo",603.6,478.12,87
"Loja","textil","sí","sí",1627.11,"red municipal y río",785.2,713.33,77
"Loja","metalmecánica","sí","no",NA,"río",943.9,935.06,77
"Ambato","farmacéutica","sí","sí",1904.11,"pozo",841.1,892.34,96
"Guayaquil","textil","sí","no",NA,"red municipal y pozo y río",830.9,775.26,83
"Ambato","farmacéutica","sí","no",NA,"red municipal y pozo",1963.21248594671,1663.65837863456,271
"Cuenca","química","sí","sí",1469.32,"red municipal y pozo",1006,1092.8,81
"Cuenca","procesamiento de alimentos","sí","sí",3260.11,"red municipal",867.7,890.81,79
"Manta","metalmecánica","sí","sí",1839.96,"red municipal",686.2,555.79,100
"Manta","textil","sí","no",NA,"red municipal y pozo",852.1,710.13,85
"Cuenca","farmacéutica","sí","sí",1766.65,"red municipal",834.9,730.47,83
"Manta","química","sí","no",NA,"red municipal",931.8,749.14,89
"Loja","farmacéutica","sí","sí",1725.44,"red municipal",898.1,947.77,78
"Cuenca","procesamiento de alimentos","no","sí",1977.65,"río",549.5,563.98,80
"Quito","textil","sí","sí",812.29,"red municipal",926,861.43,80
"Cuenca","textil","sí","sí",1025.19,"red municipal",800.3,886.42,80
"Cuenca","procesamiento de alimentos","sí","no",NA,"red municipal",827.3,946.84,89
"Ambato","farmacéutica","sí","no",NA,"red municipal",924.8,918.48,82
"Guayaquil","procesamiento de alimentos","sí","sí",1326.05,"red municipal y pozo",859.1,765.95,94
"Loja","farmacéutica","sí","sí",1815.79,"pozo",968.6,1021.24,107
"Cuenca","farmacéutica","sí","sí",939.71,"red municipal",785.2,769,76
"Cuenca","metalmecánica","sí","sí",1155.78,"red municipal y río",859.9,754.17,82
"Quito","farmacéutica","sí","sí",1336.99,"pozo y río",809.2,804.89,78
"Manta","textil","sí","no",NA,"pozo",957.2,830.87,96
"Loja","textil","sí","sí",695.2,"pozo",1032.5,1064.05,82
"Quito","química","sí","no",NA,"red municipal",877.8,946.47,80
"Quito","química","no","sí",2155.42,"red municipal y pozo",694.7,606.81,94
"Ambato","procesamiento de alimentos","sí","no",NA,"red municipal y río",673,640.87,92
"Loja","plásticos","sí","no",NA,"río",799.7,803.3,90
"Ambato","farmacéutica","sí","sí",860.77,"pozo",829.8,905.1,74
"Cuenca","plásticos","no","no",NA,"red municipal y pozo",509.1,512.43,91
"Loja","procesamiento de alimentos","sí","no",NA,"red municipal",670.5,617.66,73
"Guayaquil","textil","sí","no",NA,"pozo y río",859.7,626.46,87
"Cuenca","textil","sí","no",NA,"río",840.3,839.09,91
"Cuenca","química","sí","no",NA,"red municipal y pozo",938.3,860.73,88
"Ambato","plásticos","sí","sí",1700.38,"red municipal",1024.6,1043.44,78
"Quito","plásticos","sí","sí",1267.26,"pozo y río",835.1,847.84,96
"Cuenca","metalmecánica","sí","no",NA,"red municipal y pozo y río",936.3,856.04,96
"Guayaquil","procesamiento de alimentos","sí","sí",1749.54,"red municipal y pozo",823.1,776.79,93
"Guayaquil","procesamiento de alimentos","sí","sí",949.26,"red municipal y pozo",746,663.92,89
"Cuenca","química","no","no",NA,"pozo y río",714.8,621.73,95
"Quito","farmacéutica","sí","sí",1782.4,"red municipal y pozo",1034.6,879.97,72
"Guayaquil","procesamiento de alimentos","sí","sí",1565.5,"red municipal y pozo",777.8,737.25,70
"Manta","procesamiento de alimentos","sí","sí",1412.97,"pozo y río",696.8,610.38,78
"Quito","farmacéutica","sí","no",NA,"red municipal y río",677.2,755.82,71
"Quito","plásticos","sí","sí",809.78,"red municipal",721.7,659.75,85
"Quito","procesamiento de alimentos","sí","sí",1345.1,"pozo",689.5,592.11,97
"Loja","textil","sí","no",NA,"red municipal y río",765.9,674.66,83
"Manta","química","sí","no",NA,"red municipal",900.5,629.43,78
"Manta","textil","sí","sí",1338.36,"pozo",1061.8,772.03,79
"Loja","farmacéutica","sí","sí",1438.24,"río",971.6,958.35,86
"Manta","procesamiento de alimentos","no","no",NA,"red municipal y río",820.6,714.83,88
"Guayaquil","textil","sí","no",NA,"red municipal",824.8,655.73,79
